Team Name,Home Runs,Year
Minnesota Twins,93,1972
Montreal Expos,91,1972
New York Mets,105,1972
New York Yankees,103,1972
Oakland Athletics,134,1972
Philadelphia Phillies,98,1972
Pittsburgh Pirates,110,1972
San Diego Padres,102,1972
San Francisco Giants,150,1972
St. Louis Cardinals,70,1972
Texas Rangers,56,1972
Atlanta Braves,206,1973
Baltimore Orioles,119,1973
Boston Red Sox,147,1973
California Angels,93,1973
Chicago Cubs,117,1973
Chicago White Sox,111,1973
Cincinnati Reds,137,1973
Cleveland Indians,158,1973
Detroit Tigers,157,1973
Houston Astros,134,1973
Kansas City Royals,114,1973
Los Angeles Dodgers,110,1973
Milwaukee Brewers,145,1973
Minnesota Twins,120,1973
Montreal Expos,125,1973
New York Mets,85,1973
New York Yankees,131,1973
Oakland Athletics,147,1973
Philadelphia Phillies,134,1973
Pittsburgh Pirates,154,1973
San Diego Padres,112,1973
San Francisco Giants,161,1973
St. Louis Cardinals,75,1973
Texas Rangers,110,1973
Atlanta Braves,120,1974
Baltimore Orioles,116,1974
Boston Red Sox,109,1974
California Angels,95,1974
Chicago Cubs,110,1974
Chicago White Sox,135,1974
Cincinnati Reds,135,1974
Cleveland Indians,131,1974
Detroit Tigers,131,1974
Houston Astros,110,1974
Kansas City Royals,89,1974
Los Angeles Dodgers,139,1974
Milwaukee Brewers,120,1974
Minnesota Twins,111,1974
Montreal Expos,86,1974
New York Mets,96,1974
New York Yankees,101,1974
Oakland Athletics,132,1974
Philadelphia Phillies,95,1974
Pittsburgh Pirates,114,1974
San Diego Padres,99,1974
San Francisco Giants,93,1974
St. Louis Cardinals,83,1974
Texas Rangers,99,1974
Atlanta Braves,107,1975
Baltimore Orioles,124,1975
Boston Red Sox,134,1975
California Angels,55,1975
Chicago Cubs,95,1975
Chicago White Sox,94,1975
Cincinnati Reds,124,1975
Cleveland Indians,153,1975
Detroit Tigers,125,1975
Houston Astros,84,1975
Kansas City Royals,118,1975
Los Angeles Dodgers,118,1975
Milwaukee Brewers,146,1975
Minnesota Twins,121,1975
Montreal Expos,98,1975
New York Mets,101,1975
New York Yankees,110,1975
Oakland Athletics,151,1975
Philadelphia Phillies,125,1975
Pittsburgh Pirates,138,1975
San Diego Padres,78,1975
San Francisco Giants,84,1975
St. Louis Cardinals,81,1975
Texas Rangers,134,1975
Atlanta Braves,82,1976
Baltimore Orioles,119,1976
Boston Red Sox,134,1976
California Angels,63,1976
Chicago Cubs,105,1976
