Team Name,Home Runs,Year
Cincinnati Reds,176,2001
Cleveland Indians,212,2001
Colorado Rockies,213,2001
Detroit Tigers,139,2001
Florida Marlins,166,2001
Houston Astros,208,2001
Kansas City Royals,152,2001
Los Angeles Dodgers,206,2001
Milwaukee Brewers,209,2001
Minnesota Twins,164,2001
Montreal Expos,131,2001
New York Mets,147,2001
New York Yankees,203,2001
Oakland Athletics,199,2001
Philadelphia Phillies,164,2001
Pittsburgh Pirates,161,2001
San Diego Padres,161,2001
Seattle Mariners,169,2001
San Francisco Giants,235,2001
St. Louis Cardinals,199,2001
Tampa Bay Devil Rays,121,2001
Texas Rangers,246,2001
Toronto Blue Jays,195,2001
Anaheim Angels,152,2002
Arizona Diamondbacks,165,2002
Atlanta Braves,164,2002
Baltimore Orioles,165,2002
Boston Red Sox,177,2002
Chicago Cubs,200,2002
Chicago White Sox,217,2002
Cincinnati Reds,169,2002
Cleveland Indians,192,2002
Colorado Rockies,152,2002
Detroit Tigers,124,2002
Florida Marlins,146,2002
Houston Astros,167,2002
Kansas City Royals,140,2002
Los Angeles Dodgers,155,2002
Milwaukee Brewers,139,2002
Minnesota Twins,167,2002
Montreal Expos,162,2002
New York Mets,160,2002
New York Yankees,223,2002
Oakland Athletics,205,2002
Philadelphia Phillies,165,2002
Pittsburgh Pirates,142,2002
San Diego Padres,136,2002
Seattle Mariners,152,2002
San Francisco Giants,198,2002
St. Louis Cardinals,175,2002
Tampa Bay Devil Rays,133,2002
Texas Rangers,230,2002
Toronto Blue Jays,187,2002
Anaheim Angels,150,2003
Arizona Diamondbacks,152,2003
Atlanta Braves,235,2003
Baltimore Orioles,152,2003
Boston Red Sox,238,2003
Chicago Cubs,172,2003
Chicago White Sox,220,2003
Cincinnati Reds,182,2003
Cleveland Indians,158,2003
Colorado Rockies,198,2003
Detroit Tigers,153,2003
Florida Marlins,157,2003
Houston Astros,191,2003
Kansas City Royals,162,2003
Los Angeles Dodgers,124,2003
Milwaukee Brewers,196,2003
Minnesota Twins,155,2003
Montreal Expos,144,2003
New York Mets,124,2003
New York Yankees,230,2003
Oakland Athletics,176,2003
Philadelphia Phillies,166,2003
Pittsburgh Pirates,163,2003
San Diego Padres,128,2003
Seattle Mariners,139,2003
San Francisco Giants,180,2003
St. Louis Cardinals,196,2003
Tampa Bay Devil Rays,137,2003
Texas Rangers,239,2003
Toronto Blue Jays,190,2003
Anaheim Angels,162,2004
Arizona Diamondbacks,135,2004
Atlanta Braves,178,2004
Baltimore Orioles,169,2004
Boston Red Sox,222,2004
Chicago Cubs,235,2004
Chicago White Sox,242,2004
Cincinnati Reds,194,2004
Cleveland Indians,184,2004
Colorado Rockies,202,2004
Detroit Tigers,201,2004
Florida Marlins,148,2004
Houston Astros,187,2004
Kansas City Royals,150,2004
Los Angeles Dodgers,203,2004
Milwaukee Brewers,135,2004
Minnesota Twins,191,2004
Montreal Expos,151,2004
New York Mets,185,2004
New York Yankees,242,2004
Oakland Athletics,189,2004
Philadelphia Phillies,215,2004
Pittsburgh Pirates,142,2004
San Diego Padres,139,2004
Seattle Mariners,136,2004
San Francisco Giants,183,2004
St. Louis Cardinals,214,2004
Tampa Bay Devil Rays,145,2004
Texas Rangers,227,2004
Toronto Blue Jays,145,2004
Arizona Diamondbacks,191,2005
Atlanta Braves,184,2005
Baltimore Orioles,189,2005
Boston Red Sox,199,2005
Chicago Cubs,194,2005
Chicago White Sox,200,2005
Cincinnati Reds,222,2005
Cleveland Indians,207,2005
Colorado Rockies,150,2005
Detroit Tigers,168,2005
Florida Marlins,128,2005
Houston Astros,161,2005
Kansas City Royals,126,2005
Los Angeles Angels of Anaheim,147,2005
Los Angeles Dodgers,149,2005
Milwaukee Brewers,175,2005
Minnesota Twins,134,2005
New York Mets,175,2005
New York Yankees,229,2005
Oakland Athletics,155,2005
Philadelphia Phillies,167,2005
Pittsburgh Pirates,139,2005
San Diego Padres,130,2005
Seattle Mariners,130,2005
San Francisco Giants,128,2005
St. Louis Cardinals,170,2005
Tampa Bay Devil Rays,157,2005
Texas Rangers,260,2005
Toronto Blue Jays,136,2005
Washington Nationals,117,2005
Arizona Diamondbacks,160,2006
Atlanta Braves,222,2006
Baltimore Orioles,164,2006
Boston Red Sox,192,2006
Chicago Cubs,166,2006
Chicago White Sox,236,2006
Cincinnati Reds,217,2006
Cleveland Indians,196,2006
Colorado Rockies,157,2006
Detroit Tigers,203,2006
Florida Marlins,182,2006
Houston Astros,174,2006
Kansas City Royals,124,2006
Los Angeles Angels of Anaheim,159,2006
Los Angeles Dodgers,153,2006
Milwaukee Brewers,180,2006
Minnesota Twins,143,2006
New York Mets,200,2006
New York Yankees,210,2006
Oakland Athletics,175,2006
Philadelphia Phillies,216,2006
Pittsburgh Pirates,141,2006
San Diego Padres,161,2006
Seattle Mariners,172,2006
San Francisco Giants,163,2006
St. Louis Cardinals,184,2006
Tampa Bay Devil Rays,190,2006
Texas Rangers,183,2006
Toronto Blue Jays,199,2006
Washington Nationals,164,2006
Arizona Diamondbacks,171,2007
Atlanta Braves,176,2007
Baltimore Orioles,142,2007
Boston Red Sox,166,2007
Chicago Cubs,151,2007
Chicago White Sox,190,2007
Cincinnati Reds,204,2007
Cleveland Indians,178,2007
Colorado Rockies,171,2007
Detroit Tigers,177,2007
Florida Marlins,201,2007
Houston Astros,167,2007
Kansas City Royals,102,2007
Los Angeles Angels of Anaheim,123,2007
Los Angeles Dodgers,129,2007
Milwaukee Brewers,231,2007
Minnesota Twins,118,2007
New York Mets,177,2007
New York Yankees,201,2007
Oakland Athletics,171,2007
Philadelphia Phillies,213,2007
Pittsburgh Pirates,148,2007
San Diego Padres,171,2007
Seattle Mariners,153,2007
San Francisco Giants,131,2007
St. Louis Cardinals,141,2007
Tampa Bay Devil Rays,187,2007
Texas Rangers,179,2007
Toronto Blue Jays,165,2007
Washington Nationals,123,2007
Arizona Diamondbacks,159,2008
Atlanta Braves,130,2008
Baltimore Orioles,172,2008
Boston Red Sox,173,2008
Chicago Cubs,184,2008
Chicago White Sox,235,2008
Cincinnati Reds,187,2008
Cleveland Indians,171,2008
Colorado Rockies,160,2008
Detroit Tigers,200,2008
Florida Marlins,208,2008
Houston Astros,167,2008
Kansas City Royals,120,2008
Los Angeles Angels of Anaheim,159,2008
Los Angeles Dodgers,137,2008
Milwaukee Brewers,198,2008
Minnesota Twins,111,2008
New York Mets,172,2008
New York Yankees,180,2008
Oakland Athletics,125,2008
Philadelphia Phillies,214,2008
Pittsburgh Pirates,153,2008
San Diego Padres,154,2008
Seattle Mariners,124,2008
San Francisco Giants,94,2008
St. Louis Cardinals,174,2008
Tampa Bay Rays,180,2008
Texas Rangers,194,2008
Toronto Blue Jays,126,2008
Washington Nationals,117,2008
Arizona Diamondbacks,173,2009
Atlanta Braves,149,2009
Baltimore Orioles,160,2009
Boston Red Sox,212,2009
Chicago Cubs,161,2009
Chicago White Sox,184,2009
Cincinnati Reds,158,2009
Cleveland Indians,161,2009
Colorado Rockies,190,2009
Detroit Tigers,183,2009
Florida Marlins,159,2009
Houston Astros,142,2009
Kansas City Royals,144,2009
Los Angeles Angels of Anaheim,173,2009
Los Angeles Dodgers,145,2009
Milwaukee Brewers,182,2009
Minnesota Twins,172,2009
New York Mets,95,2009
New York Yankees,244,2009
Oakland Athletics,135,2009
Philadelphia Phillies,224,2009
Pittsburgh Pirates,125,2009
San Diego Padres,141,2009
Seattle Mariners,160,2009
San Francisco Giants,122,2009
St. Louis Cardinals,160,2009
Tampa Bay Rays,199,2009
Texas Rangers,224,2009
Toronto Blue Jays,209,2009
Washington Nationals,156,2009
Arizona Diamondbacks,180,2010
Atlanta Braves,139,2010
Baltimore Orioles,133,2010
Boston Red Sox,211,2010
Chicago Cubs,149,2010
Chicago White Sox,177,2010
Cincinnati Reds,188,2010
Cleveland Indians,128,2010
Colorado Rockies,173,2010
Detroit Tigers,152,2010
Florida Marlins,152,2010
Houston Astros,108,2010
Kansas City Royals,121,2010
Los Angeles Angels of Anaheim,155,2010
Los Angeles Dodgers,120,2010
Milwaukee Brewers,182,2010
Minnesota Twins,142,2010
New York Mets,128,2010
New York Yankees,201,2010
Oakland Athletics,109,2010
Philadelphia Phillies,166,2010
Pittsburgh Pirates,126,2010
San Diego Padres,132,2010
Seattle Mariners,101,2010
San Francisco Giants,162,2010
St. Louis Cardinals,150,2010
Tampa Bay Rays,160,2010
Texas Rangers,162,2010
Toronto Blue Jays,257,2010
Washington Nationals,149,2010
Arizona Diamondbacks,172,2011
Atlanta Braves,173,2011
Baltimore Orioles,191,2011
Boston Red Sox,203,2011
Chicago Cubs,148,2011
Chicago White Sox,154,2011
Cincinnati Reds,183,2011
Cleveland Indians,154,2011
Colorado Rockies,163,2011
Detroit Tigers,169,2011
Florida Marlins,149,2011
Houston Astros,95,2011
Kansas City Royals,129,2011
Los Angeles Angels of Anaheim,155,2011
Los Angeles Dodgers,117,2011
Milwaukee Brewers,185,2011
Minnesota Twins,103,2011
New York Mets,108,2011
New York Yankees,222,2011
Oakland Athletics,114,2011
Philadelphia Phillies,153,2011
Pittsburgh Pirates,107,2011
San Diego Padres,91,2011
Seattle Mariners,109,2011
San Francisco Giants,121,2011
St. Louis Cardinals,162,2011
Tampa Bay Rays,172,2011
Texas Rangers,210,2011
Toronto Blue Jays,186,2011
Washington Nationals,154,2011
Arizona Diamondbacks,165,2012
Atlanta Braves,149,2012
Baltimore Orioles,214,2012
Boston Red Sox,165,2012
Chicago Cubs,137,2012
Chicago White Sox,211,2012
Cincinnati Reds,172,2012
Cleveland Indians,136,2012
Colorado Rockies,166,2012
Detroit Tigers,163,2012
Houston Astros,146,2012
Kansas City Royals,131,2012
Los Angeles Angels of Anaheim,187,2012
Los Angeles Dodgers,116,2012
Miami Marlins,137,2012
Milwaukee Brewers,202,2012
Minnesota Twins,131,2012
New York Mets,139,2012
New York Yankees,245,2012
Oakland Athletics,195,2012
Philadelphia Phillies,158,2012
Pittsburgh Pirates,170,2012
San Diego Padres,121,2012
Seattle Mariners,149,2012
San Francisco Giants,103,2012
St. Louis Cardinals,159,2012
Tampa Bay Rays,175,2012
Texas Rangers,200,2012
Toronto Blue Jays,198,2012
Washington Nationals,194,2012
